iter	Passed	Remaining
470	10754	12078
471	10797	12078
472	10837	12074
473	10866	12059
474	10894	12040
475	10929	12031
476	10970	12028
477	11006	12019
478	11054	12023
479	11081	12005
480	11130	12010
481	11161	11995
482	11191	11979
483	11221	11963
484	11251	11947
485	11275	11925
486	11294	11897
487	11324	11881
488	11347	11858
489	11369	11833
490	11387	11804
491	11420	11792
492	11454	11779
493	11486	11766
494	11517	11750
495	11552	11738
496	11589	11729
497	11629	11722
498	11665	11712
499	11712	11712
500	11757	11710
501	11779	11686
502	11810	11669
503	11832	11644
504	11858	11623
505	11887	11605
506	11914	11585
507	11958	11581
508	11982	11558
509	11998	11528
510	12011	11494
511	12027	11464
512	12042	11431
513	12055	11399
514	12067	11364
515	12078	11329
516	12088	11293
517	12098	11257
518	12109	11223
519	12122	11189
520	12132	11154
521	12144	11120
522	12154	11085
523	12162	11048
524	12171	11011
525	12179	10975
526	12187	10939
527	12196	10903
528	12206	10868
529	12216	10833
530	12227	10799
531	12238	10765
532	12247	10731
533	12256	10695
534	12265	10661
535	12275	10626
536	12285	10592
537	12295	10558
538	12304	10524
539	12316	10491
540	12334	10465
541	12351	10437
542	12372	10412
543	12414	10406
544	12477	10416
545	12501	10394
546	12526	10373
547	12553	10354
548	12604	10354
549	12656	10355
550	12706	10353
551	12730	10331
552	12745	10302
553	12758	10271
554	12784	10250
555	12800	10222
556	12810	10188
557	12823	10157
558	12834	10125
559	12862	10105
560	12875	10075
561	12887	10043
562	12900	10013
563	12913	9982
564	12924	9950
565	12934	9918
566	12946	9886
567	12955	9853
568	12965	9820
569	12977	9789
570	13022	9784
571	13057	9770
572	13100	9762
573	13128	9743
574	13181	9742
575	13218	9730
576	13251	9714
577	13300	9710
578	13334	9696
579	13363	9677
580	13410	9671
581	13446	9657
582	13472	9636
583	13504	9619
584	13544	9608
585	13591	9602
586	13622	9584
587	13694	9595
588	13726	9577
589	13781	9576
590	13806	9554
591	13832	9533
592	13875	9523
593	13919	9514
594	13976	9513
595	14020	9504
596	14075	9501
597	14119	9491
598	14146	9470
599	14184	9456
600	14213	9436
601	14273	9436
602	14317	9426
603	14343	9403
604	14377	9386
605	14436	9386
606	14469	9368
607	14483	9338
608	14499	9309
609	14512	9278
610	14524	9247
611	14538	9217
612	14550	9185
613	14561	9154
614	14572	9122
615	14582	9090
616	14592	9058
617	14604	9027
618	14617	8996
619	14628	8965
620	14639	8934
621	14655	8906
622	14669	8877
623	14680	8846
624	14695	8817
625	14707	8787
626	14720	8756
627	14731	8726
628	14743	8696
629	14759	8668
630	14770	8637
631	14781	8606
632	14795	8578
633	14832	8562
634	14896	8562
635	14925	8542
636	14951	8520
637	14993	8507
638	15029	8490
639	15086	8486
640	15124	8470
641	15157	8452
642	15187	8432
643	15222	8415
644	15273	8406
645	15330	8400
646	15365	8383
647	15396	8363
648	15456	8359
649	15491	8341
650	15546	8334
651	15602	8327
652	15640	8311
653	15680	8295
654	15717	8278
655	15739	8253
656	15766	8231
657	15796	8210
658	15830	8191
659	15868	8174
660	15930	8170
661	15964	8151
662	16023	8144
663	16057	8125
664	16088	8104
665	16154	8101
666	16188	8081
667	16216	8059
668	16242	8036
669	16295	8026
670	16349	8016
671	16391	8000
672	16424	7980
673	16446	7954
674	16484	7937
675	16534	7925
676	16590	7915
677	16633	7899
678	16696	7893
679	16726	7871
680	16775	7858
681	16818	7842
682	16869	7829
683	16917	7815
684	16957	7797
685	17007	7784
686	17045	7765
687	17100	7754
688	17167	7748
689	17195	7725
690	17219	7700
691	17259	7681
692	17297	7662
693	17347	7648
694	17398	7635
695	17486	7637
696	17503	7608
697	17518	7579
698	17533	7550
699	17545	7519
700	17556	7488
701	17569	7458
702	17580	7427
703	17592	7396
704	17601	7365
705	17611	7334
706	17621	7302
707	17631	7271
708	17641	7240
709	17651	7209
710	17659	7178
711	17686	7153
712	17734	7138
713	17767	7116
714	17805	7097
715	17820	7068
716	17857	7048
717	17875	7020
718	17888	6991
719	17903	6962
720	17920	6934
721	17936	6906
722	17953	6878
723	17967	6849
724	17982	6820
725	17996	6792
726	18014	6764
727	18032	6737
728	18053	6711
729	18071	6683
730	18086	6655
731	18097	6625
732	18110	6596
733	18145	6575
734	18228	6572
735	18265	6551
736	18322	6538
737	18374	6523
738	18423	6506
739	18489	6496
740	18559	6487
741	18596	6466
742	18663	6455
743	18700	6434
744	18727	6410
745	18760	6387
746	18810	6370
747	18840	6347
748	18903	6334
749	18940	6313
750	18973	6290
751	18994	6264
752	19065	6254
753	19084	6226
754	19109	6201
755	19132	6175
756	19181	6157
757	19228	6138
758	19263	6116
759	19296	6093
760	19317	6066
761	19340	6040
762	19362	6014
763	19377	5985
764	19386	5955
765	19398	5925
766	19409	5896
767	19422	5867
768	19435	5838
769	19448	5809
770	19462	5780
771	19477	5752
772	19488	5723
773	19499	5693
774	19509	5664
775	19522	5635
776	19540	5608
777	19589	5589
778	19663	5578
779	19717	5561
780	19755	5539
781	19795	5518
782	19833	5496
783	19874	5475
784	19923	5456
785	19948	5431
786	19981	5407
787	20027	5388
788	20088	5372
789	20119	5348
790	20155	5325
791	20196	5304
792	20218	5277
793	20229	5248
794	20239	5218
795	20250	5189
796	20261	5160
797	20273	5131
798	20285	5103
799	20296	5074
800	20307	5045
801	20319	5016
802	20330	4987
803	20342	4959
804	20353	4930
805	20366	4902
806	20376	4873
807	20387	4844
808	20398	4815
809	20408	4787
810	20421	4759
811	20432	4730
812	20441	4701
813	20451	4673
814	20462	4644
815	20473	4616
816	20487	4589
817	20501	4561
818	20517	4534
819	20534	4507
820	20551	4480
821	20569	4454
822	20590	4428
823	20605	4401
824	20619	4373
825	20631	4346
826	20644	4318
827	20658	4291
828	20669	4263
829	20682	4236
830	20694	4208
831	20707	4181
832	20727	4155
833	20740	4128
834	20752	4100
835	20765	4073
836	20777	4046
837	20790	4019
838	20803	3992
839	20814	3964
840	20828	3937
841	20849	3912
842	20867	3886
843	20881	3859
844	20894	3832
845	20908	3806
846	20923	3779
847	20941	3753
848	20959	3727
849	20972	3701
850	20983	3673
851	20995	3647
852	21008	3620
853	21022	3593
854	21031	3566
855	21041	3539
856	21051	3512
857	21064	3486
858	21076	3459
859	21088	3433
860	21101	3406
861	21111	3379
862	21122	3353
863	21132	3326
864	21143	3299
865	21153	3273
866	21164	3246
867	21176	3220
868	21187	3194
869	21199	3167
870	21211	3141
871	21224	3115
872	21237	3089
873	21250	3063
874	21263	3037
875	21275	3011
876	21285	2985
877	21295	2959
878	21305	2932
879	21315	2906
880	21325	2880
881	21336	2854
882	21346	2828
883	21357	2802
884	21368	2776
885	21379	2750
886	21390	2725
887	21401	2699
888	21413	2673
889	21424	2648
890	21437	2622
891	21449	2597
892	21466	2572
893	21478	2546
894	21490	2521
895	21501	2495
896	21512	2470
897	21525	2444
898	21536	2419
899	21548	2394
900	21560	2369
901	21575	2344
902	21587	2318
903	21598	2293
904	21609	2268
905	21619	2243
906	21630	2217
907	21641	2192
908	21653	2167
909	21664	2142
910	21676	2117
911	21687	2092
912	21697	2067
913	21707	2042
914	21717	2017
915	21727	1992
916	21737	1967
917	21749	1942
918	21760	1917
919	21772	1893
920	21784	1868
921	21796	1843
922	21809	1819
923	21821	1794
924	21833	1770
925	21845	1745
926	21858	1721
927	21875	1697
928	21886	1672
929	21899	1648
930	21910	1623
931	21921	1599
932	21932	1574
933	21943	1550
934	21956	1526
935	21971	1502
936	21984	1478
937	21996	1453
938	22008	1429
939	22019	1405
940	22031	1381
941	22044	1357
942	22056	1333
943	22069	1309
944	22080	1285
945	22093	1261
946	22104	1237
947	22114	1213
948	22125	1189
949	22134	1164
950	22145	1141
951	22156	1117
952	22168	1093
953	22178	1069
954	22189	1045
955	22200	1021
956	22210	997
957	22221	974
958	22232	950
959	22243	926
960	22254	903
961	22264	879
962	22274	855
963	22285	832
964	22295	808
965	22307	785
966	22316	761
967	22327	738
968	22338	714
969	22349	691
970	22360	667
971	22370	644
972	22381	621
973	22392	597
974	22402	574
975	22413	551
976	22423	527
977	22433	504
978	22443	481
979	22457	458
980	22467	435
981	22476	411
982	22487	388
983	22497	365
984	22508	342
985	22518	319
986	22528	296
987	22539	273
988	22550	250
989	22559	227
990	22570	204
991	22581	182
992	22590	159
993	22601	136
994	22611	113
995	22621	90
996	22631	68
997	22640	45
998	22651	22
999	22661	0
