iter	Logloss
246	0.1958413442
247	0.1955149301
248	0.1953584744
249	0.1952012263
250	0.1950247708
251	0.194837717
252	0.1946477332
253	0.1944795696
254	0.1942787446
255	0.1940874401
256	0.1940446498
257	0.1939251816
258	0.1938113201
259	0.1935805984
260	0.1935011619
261	0.1934137795
262	0.1931051944
263	0.1928462337
264	0.192686762
265	0.19247792
266	0.1924112943
267	0.1923106082
268	0.192092795
269	0.1918755966
270	0.1916559653
271	0.1915477483
272	0.1913185115
273	0.1911653215
274	0.1909954531
275	0.1908396706
276	0.1907463004
277	0.1903646883
278	0.190198266
279	0.190025846
280	0.1897845285
281	0.1896705148
282	0.1894772574
283	0.1893278475
284	0.1891297821
285	0.1889792821
286	0.1888204813
287	0.1885469391
288	0.1883300645
289	0.1882167906
290	0.1881056613
291	0.18797291
292	0.1878673
293	0.1876837281
294	0.1873895781
295	0.1871916571
296	0.1870504947
297	0.1867407973
298	0.1864523077
299	0.1863062988
300	0.1861204406
301	0.1859750918
302	0.1857585959
303	0.185601369
304	0.1854448656
305	0.1852781515
306	0.1851150268
307	0.1849063971
308	0.1847922802
309	0.1847164078
310	0.1845546968
311	0.1844994235
312	0.1843223017
313	0.1841756787
314	0.184083008
315	0.1838864185
316	0.1836587996
317	0.1834918684
318	0.1833575961
319	0.183222737
320	0.1831089558
321	0.1830651241
322	0.1827546925
323	0.1826255092
324	0.1823644494
325	0.1823288004
326	0.1822642881
327	0.1821880349
328	0.1820466045
329	0.1818080745
330	0.1816044721
331	0.181515925
332	0.1814025639
333	0.1812343044
334	0.1811033364
335	0.1809213864
336	0.1808153088
337	0.1806824675
338	0.1804623225
339	0.1803700276
340	0.1801845824
341	0.179990618
342	0.1798576963
343	0.1797828521
344	0.1796297025
345	0.1795158813
346	0.1793823633
347	0.1792931579
348	0.1791859037
349	0.1790541846
350	0.1788385692
351	0.1786436362
352	0.1783854245
353	0.1780999468
354	0.1780751997
355	0.1779540163
356	0.1779179951
357	0.1778166908
358	0.1776375792
359	0.1775768398
360	0.1774695788
361	0.1772188574
362	0.1770359781
363	0.1768302357
364	0.1766241965
365	0.1764646941
366	0.1762276099
367	0.1760670524
368	0.1760269541
369	0.1758222416
370	0.1755999467
371	0.175482035
372	0.1754134956
373	0.1752146778
374	0.1750425784
375	0.1748624038
376	0.1746477902
377	0.1744672629
378	0.1742163882
379	0.1740610474
380	0.1739412653
381	0.1736602775
382	0.1734030728
383	0.1733307835
384	0.1731383658
385	0.172929394
386	0.1726829633
387	0.1725527631
388	0.1724488632
389	0.1724131306
390	0.1723032033
391	0.172211978
392	0.1721676654
393	0.171911487
394	0.1717640581
395	0.1716125531
396	0.1714577787
397	0.1712877437
398	0.1711256625
399	0.1709822941
400	0.1708629208
401	0.1706975792
402	0.170674832
403	0.170668498
404	0.1705135037
405	0.1703472626
406	0.1701459827
407	0.1699645031
408	0.169862009
409	0.16976412
410	0.1696285603
411	0.1695042537
412	0.1693808015
413	0.1692300106
414	0.1691057852
415	0.1688892033
416	0.1687260669
417	0.1685885007
418	0.1683655956
419	0.1682308554
420	0.1681275387
421	0.1679693774
422	0.1677429797
423	0.1674692267
424	0.1673247495
425	0.1672510599
426	0.1670905996
427	0.1669300284
428	0.1668142221
429	0.1667107289
430	0.1666209651
431	0.166418266
432	0.1663884801
433	0.1663330175
434	0.1661523279
435	0.1659919967
436	0.1659088806
437	0.1657955175
438	0.165730244
439	0.1655901236
440	0.1654449548
441	0.1653570557
442	0.1653097685
443	0.1652766349
444	0.1652247672
445	0.1650682001
446	0.1649527315
447	0.1647940225
448	0.1645040348
449	0.1643180888
450	0.1640414998
451	0.1639437892
452	0.1638029563
453	0.1636583392
454	0.163520561
455	0.1633595893
456	0.1632743962
457	0.1631892356
458	0.1630400823
459	0.1628850775
460	0.1626514231
461	0.1625776975
462	0.1624631624
463	0.1624229091
464	0.1623892166
465	0.1622641881
466	0.1620827522
467	0.1620082282
468	0.1617811922
469	0.1616858477
470	0.1616087926
471	0.1615440053
472	0.1614467392
473	0.1614134427
474	0.1613686506
475	0.1612592584
476	0.1611970323
477	0.1610703079
478	0.1610061967
479	0.1609324764
480	0.1608647252
481	0.1607634249
482	0.1605145697
483	0.1604592996
484	0.16039612
485	0.1603264412
486	0.1601856427
487	0.1600110584
488	0.1598794827
489	0.1597664146
490	0.159587384
491	0.1594675113
492	0.1594132152
493	0.1592631977
494	0.1591426693
495	0.1591031497
496	0.158943269
497	0.1588585393
498	0.15881235
499	0.1587916764
500	0.1586398565
501	0.1584260339
502	0.158239323
503	0.1581193787
504	0.1579249921
505	0.1577656966
506	0.157625486
507	0.1574789001
508	0.1573610655
509	0.1573011135
510	0.1572333762
511	0.1571062917
512	0.1568752666
513	0.1567845945
514	0.1566491908
515	0.1565413247
516	0.1563400107
517	0.1562753955
518	0.1560453116
519	0.1558570759
520	0.1556935553
521	0.1556027455
522	0.1554818789
523	0.1554506902
524	0.1553745488
525	0.1552851252
526	0.1551339985
527	0.1549930392
528	0.1548639109
529	0.1546795289
530	0.1545469836
531	0.1543376889
532	0.1541606158
533	0.1539857882
534	0.153899413
535	0.1536789059
536	0.1534876002
537	0.1533309879
538	0.1531572517
539	0.1530177704
540	0.1528944024
541	0.1527516397
542	0.1526945984
543	0.1525142648
544	0.1522791745
545	0.1520994912
546	0.1520334428
547	0.1518966404
548	0.1518296206
549	0.1516642791
550	0.1514875048
551	0.1513183922
552	0.1512691038
553	0.1511416111
554	0.1510294856
555	0.1508499372
556	0.1508277443
557	0.1505767926
558	0.1504402315
559	0.1503849014
560	0.1503095697
561	0.1502528501
562	0.1501847759
563	0.1500454985
564	0.1500111342
565	0.1499233945
566	0.1498187623
567	0.1497469368
568	0.1496228566
569	0.1494806386
570	0.1493439624
571	0.1492331732
572	0.1491366829
573	0.1491202294
574	0.1489692185
575	0.1488438861
576	0.1486084195
577	0.1484710358
578	0.1483570847
579	0.1482702318
580	0.1480672361
581	0.14786555
582	0.1477929128
583	0.1477250645
584	0.1475965529
585	0.1475245427
586	0.1474136141
587	0.1473093827
588	0.1471743682
589	0.1470571963
590	0.1469977689
591	0.1469111689
592	0.146866976
593	0.1466620184
594	0.1465825666
595	0.1464126623
596	0.1463310694
597	0.1461431586
598	0.1460652821
599	0.1459718107
600	0.1457843323
601	0.1455952849
602	0.1455615792
603	0.1455169781
604	0.1454522314
605	0.1453326546
606	0.1453129821
607	0.1453058713
608	0.1452732894
609	0.1451639646
610	0.1449869493
611	0.1448672556
612	0.1447621122
613	0.1446924027
614	0.1446428786
615	0.1446205315
616	0.1445702948
617	0.1443792356
618	0.1443004505
619	0.1442015371
620	0.1440608723
621	0.1438759282
622	0.143775056
623	0.1436760441
624	0.1436024733
625	0.1435862503
626	0.1434530548
627	0.1433596765
628	0.1432343167
629	0.1430923117
630	0.1430650425
631	0.1429034346
632	0.1427346835
633	0.1426422877
634	0.1424983342
635	0.1423550202
636	0.1422714443
637	0.1422445171
638	0.1421524044
639	0.1420975375
640	0.1419515769
641	0.1418249046
642	0.1417934051
643	0.1416237318
644	0.1416128359
645	0.1414806248
646	0.1413810711
647	0.1412975947
648	0.1412475758
649	0.1410683493
650	0.1409818665
651	0.1408928993
652	0.1408247777
653	0.14069536
654	0.1405186952
655	0.1402993437
656	0.1401203747
657	0.1399924502
658	0.139943013
659	0.139876289
660	0.1397929904
661	0.1396541811
662	0.1396034616
663	0.1394468077
664	0.1393538753
665	0.1392308769
666	0.1391822135
667	0.139172235
668	0.1389806956
669	0.1388577902
670	0.1387301721
671	0.1387164555
672	0.1386245686
673	0.1384973203
674	0.1384011713
675	0.1383507456
676	0.1382681999
677	0.1380690344
678	0.1380073157
679	0.137967709
680	0.1378535048
681	0.1377909643
682	0.137760759
683	0.1376057214
684	0.137493674
685	0.1373198623
686	0.137200988
687	0.1370823352
688	0.1369008739
689	0.1367915865
690	0.1365903139
691	0.1365159913
692	0.1363957396
693	0.1362772445
694	0.1361230784
695	0.1360573714
696	0.1359671806
697	0.1358100724
698	0.1356525008
699	0.1356151088
700	0.1355075875
701	0.1354300099
702	0.13539744
703	0.1353279941
704	0.1350953037
705	0.1349640132
706	0.1349046628
707	0.1348936555
708	0.134800123
709	0.1347537662
710	0.1346823745
711	0.1345746617
712	0.134516563
713	0.1344908252
714	0.1344283482
715	0.1343384651
716	0.1341612491
717	0.1339999645
718	0.1339578342
719	0.1338669839
720	0.1338004057
721	0.1337009128
722	0.1336250681
723	0.1336200829
724	0.1335086259
725	0.1333683527
726	0.1333515455
727	0.1333206823
728	0.1332716854
729	0.1331442962
730	0.1330047674
731	0.1329881131
732	0.1328415458
733	0.132782336
734	0.1326925191
735	0.1326083556
736	0.1324764088
737	0.1323991296
738	0.1323449002
739	0.1322778235
740	0.1321256853
741	0.1321103247
742	0.1320993122
743	0.1319887434
744	0.1318612053
745	0.131781963
746	0.1317148962
747	0.1316274498
748	0.1315083823
749	0.1313606363
750	0.1312627495
751	0.1312369875
752	0.1311731852
753	0.1310424263
754	0.1309671593
755	0.1309219799
756	0.1308288492
757	0.1306138602
758	0.1304569091
759	0.1304187354
760	0.1303764424
761	0.1303232363
762	0.1302558523
763	0.1302107514
764	0.1302087609
765	0.1301079653
766	0.1300869362
767	0.1299858138
768	0.1298185893
769	0.1297460317
770	0.1296851192
771	0.1296265539
772	0.1295124235
773	0.1294454062
774	0.1293414747
775	0.1293174451
776	0.1292639704
777	0.1291862375
778	0.1290766739
779	0.1289171902
780	0.1287899096
781	0.1286801415
782	0.1285744416
783	0.1284537445
784	0.128433321
785	0.1283263009
786	0.1282783811
787	0.1282551782
788	0.128235977
789	0.1282085298
790	0.1280607515
791	0.1280477332
792	0.1280124613
793	0.1279259104
794	0.1278351284
795	0.1277394933
796	0.1276209168
797	0.1276123951
798	0.127550173
799	0.127463379
800	0.1274299549
801	0.1273361612
802	0.1272127294
803	0.1269690445
804	0.1268234576
805	0.1267424823
806	0.1267160464
807	0.1265906563
808	0.1264891687
809	0.1263469864
810	0.1262365088
811	0.1261483866
812	0.126015514
813	0.1258920372
814	0.1258142756
815	0.1257013129
816	0.1256046521
817	0.1255196489
818	0.1254779805
819	0.1254038711
820	0.125299056
821	0.1252460686
822	0.1251896345
823	0.1251640122
824	0.1251147167
825	0.1250662444
826	0.1249811604
827	0.1249632313
828	0.1248710453
829	0.1247750389
830	0.1245823131
831	0.1244323078
832	0.1243186903
833	0.1242154947
834	0.1241468213
835	0.1240747181
836	0.1239082232
837	0.1238979035
838	0.1238239863
839	0.1237865032
840	0.1236509979
841	0.1236198798
842	0.123496679
843	0.1234338123
844	0.1233253316
845	0.1232835676
846	0.1232238056
847	0.1231493271
848	0.1230202969
849	0.1229436772
850	0.1228300763
851	0.1227287832
852	0.1225491025
853	0.1224236339
854	0.1223795607
855	0.1222793098
856	0.1221317773
857	0.1220329002
858	0.1218711865
859	0.1218384467
860	0.1217564644
861	0.1216881523
862	0.1215549893
863	0.1214890467
864	0.1213616783
865	0.1212790526
866	0.1212075259
867	0.1211639079
868	0.1210838112
869	0.120939887
870	0.1208832631
871	0.1207409113
872	0.1206513901
873	0.1205530497
874	0.120461199
875	0.1203963538
876	0.1203716595
877	0.1202739681
878	0.1201870211
879	0.1200995915
880	0.1200667951
881	0.1199806644
882	0.1198214728
883	0.1196660109
884	0.1195776203
885	0.1194341988
886	0.1193240374
887	0.1192644644
888	0.1191502458
889	0.1190645409
890	0.1190291099
891	0.1188333062
892	0.1187558763
893	0.1186667084
894	0.1186196409
895	0.1185078814
896	0.1185027872
897	0.1184091011
898	0.1183071863
899	0.1182345884
900	0.1181742829
901	0.1180509985
902	0.1179529577
903	0.1179128339
904	0.1177472538
905	0.1177029431
906	0.1176203911
907	0.1176101139
908	0.1175919377
909	0.1175454747
910	0.1174553286
911	0.1173593288
912	0.1173103486
913	0.1172229866
914	0.1172043879
915	0.1171167521
916	0.1170461399
917	0.1170094215
918	0.1170004191
919	0.1169078645
920	0.1168113042
921	0.1167615275
922	0.1166628521
923	0.1166069493
924	0.1165189752
925	0.1163566397
926	0.1162961185
927	0.116194961
928	0.1161339601
929	0.1160391559
930	0.1158890337
931	0.1157353024
932	0.1156342028
933	0.1156104529
934	0.1155804253
935	0.1154106529
936	0.1153147893
937	0.1152704786
938	0.1152132519
939	0.1151886795
940	0.1151070771
941	0.1149857257
942	0.1149285287
943	0.114898917
944	0.1148500413
945	0.114823475
946	0.1146939613
947	0.1146265438
948	0.1144908305
949	0.1143594804
950	0.1143220141
951	0.114235184
952	0.1141234983
953	0.1140338195
954	0.1139592862
955	0.1138595169
956	0.1138044447
957	0.1136946512
958	0.1135942478
959	0.11351209
960	0.1134725703
961	0.1133519687
962	0.1133426984
963	0.1133249401
964	0.1133159884
965	0.1131534019
966	0.1131298933
967	0.1130093415
968	0.1129669297
969	0.1129017212
970	0.1128627099
971	0.1128125981
972	0.1127754574
973	0.1127208911
974	0.1126745396
975	0.1125490977
976	0.1124989288
977	0.1124422738
978	0.1123881808
979	0.1123751073
980	0.1123404775
981	0.1122710161
982	0.1121847313
983	0.1120883809
984	0.1120211567
985	0.1118530207
986	0.1118185459
987	0.1117319725
988	0.1116035504
989	0.1115662057
990	0.1114684843
991	0.1113765984
992	0.1113589801
993	0.1112795275
994	0.1112399017
995	0.1110742475
996	0.1109632813
997	0.1109147712
998	0.1108475122
999	0.1107981946
